
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:71:C2:61:EE:28, 2016-02-12 00:17:14, 2016-02-12 00:18:07,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -84,        6,        0,   0.  0.  0.  0,  13, HOME-E4CE-2.4, 
60:E3:27:AD:26:E9, 2016-02-12 00:17:14, 2016-02-12 00:18:07,  1,  54, WPA2, CCMP,PSK, -84,       49,        0,   0.  0.  0.  0,   6, Skynet, 
E6:3E:FC:9F:45:10, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, OPN, ,   , -83,       43,        0,   0.  0.  0.  0,  11, xfinitywifi, 
E2:3E:FC:9F:45:10, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, WPA2, CCMP,PSK, -83,       44,        0,   0.  0.  0.  0,   0, , 
C4:04:15:1F:25:82, 2016-02-12 00:17:15, 2016-02-12 00:18:08,  3,  54, WPA2, CCMP,PSK, -83,       64,        0,   0.  0.  0.  0,  12, PounceBounce, 
A2:E4:CB:56:21:6C, 2016-02-12 00:17:18, 2016-02-12 00:18:05,  3,  54, WPA2, CCMP TKIP,PSK, -83,       18,       12,   0.  0.  0.  0,  13, TiggleBitties, 
06:A1:51:23:5B:B4, 2016-02-12 00:17:17, 2016-02-12 00:18:07,  6,  54, WPA2, CCMP,PSK, -83,       18,        0,   0.  0.  0.  0,  13, Trilogy-Guest, 
04:A1:51:23:5B:B3, 2016-02-12 00:17:14, 2016-02-12 00:18:07,  6,  54, WPA2, CCMP,PSK, -82,       20,        0,   0.  0.  0.  0,  19, TrilogyChiropractic, 
90:1A:CA:37:4C:50, 2016-02-12 00:17:26, 2016-02-12 00:18:04,  1,  54, WPA2, CCMP TKIP,PSK, -82,        4,       10,   0.  0.  0.  0,   9, HOME-4C52, 
08:62:66:40:16:A0, 2016-02-12 00:17:15, 2016-02-12 00:18:08,  6,  54, WPA2, CCMP,PSK, -83,       43,        4,   0.  0.  0.  0,   7, KLSulli, 
02:15:99:A9:A5:B8, 2016-02-12 00:17:51, 2016-02-12 00:18:06,  4,  54, WPA2, CCMP,PSK, -81,        1,        0,   0.  0.  0.  0,  16, DIRECT-HnML-2160, 
92:1A:CA:37:4C:50, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, WPA2, CCMP,PSK, -77,       44,        0,   0.  0.  0.  0,   0, , 
E8:37:7A:42:F9:E1, 2016-02-12 00:17:15, 2016-02-12 00:18:08, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -79,       73,       11,   0.  0.  0.  0,  15, CenturyLink1130, 
6C:B0:CE:B9:17:95, 2016-02-12 00:17:15, 2016-02-12 00:18:07, 11,  54, WPA2, CCMP,PSK, -78,       91,        6,   0.  0.  0.  0,   9, NETGEAR09, 
62:E3:27:69:E5:60, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  6,  54, WPA2, CCMP,PSK, -80,       75,        0,   0.  0.  0.  0,  14, imronburgandy?, 
CC:35:40:48:10:F1, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -79,       64,        2,   0.  0.  0.  0,  10, VZ-Seattle, 
96:1A:CA:37:4C:50, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, OPN, ,   , -79,       60,        0,   0.  0.  0.  0,  11, xfinitywifi, 
F6:ED:A5:62:46:40, 2016-02-12 00:17:14, 2016-02-12 00:18:08, 11,  54, OPN, ,   , -79,      111,        0,   0.  0.  0.  0,  11, xfinitywifi, 
20:4E:7F:A0:B3:82, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  9,  54, WEP, WEP,   , -78,       82,        6,   0.  0.  0.  0,  13, WHAT UP WAZZU, 
F2:ED:A5:62:46:40, 2016-02-12 00:17:14, 2016-02-12 00:18:08, 11,  54, WPA2, CCMP,PSK, -78,      110,        0,   0.  0.  0.  0,   0, , 
28:92:4A:C5:8D:3C, 2016-02-12 00:17:15, 2016-02-12 00:18:08, 11,  54, WPA2, CCMP,PSK, -78,       96,        0,   0.  0.  0.  0,  27, HP-Print-3C-ENVY 120 series, 
CE:35:40:48:10:F3, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, OPN, ,   , -77,       58,        0,   0.  0.  0.  0,  11, xfinitywifi, 
22:86:8C:44:07:8E, 2016-02-12 00:17:15, 2016-02-12 00:18:08, 11,  54, OPN, ,   , -79,       54,        0,   0.  0.  0.  0,  11, xfinitywifi, 
F8:ED:A5:62:46:40, 2016-02-12 00:17:15, 2016-02-12 00:18:07, 11,  54, WPA2, CCMP TKIP,PSK, -77,       96,        6,   0.  0.  0.  0,   9, HOME-4642, 
CE:35:40:48:10:F2, 2016-02-12 00:17:14, 2016-02-12 00:18:07,  1,  54, WPA2, CCMP,PSK, -76,       59,        0,   0.  0.  0.  0,  12, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
10:86:8C:44:07:8E, 2016-02-12 00:17:14, 2016-02-12 00:18:08, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -78,       99,        0,   0.  0.  0.  0,   5, Roxie, 
DC:85:DE:C1:12:15, 2016-02-12 00:17:18, 2016-02-12 00:18:06, 10,  54, OPN, ,   , -76,       11,        0,   0.  0.  0.  0,   8, WMc11215, 
12:86:8C:44:07:8E, 2016-02-12 00:17:14, 2016-02-12 00:18:07, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -75,      102,        0,   0.  0.  0.  0,   0, , 
C0:4A:00:77:F3:14, 2016-02-12 00:17:16, 2016-02-12 00:18:08,  6,  54, WPA2 WPA, CCMP,PSK, -76,       86,        0,   0.  0.  0.  0,   8, equinoks, 
00:71:C2:AA:E5:71, 2016-02-12 00:17:16, 2016-02-12 00:18:08,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -72,       22,        0,   0.  0.  0.  0,   0, , 
90:EF:68:05:51:D9, 2016-02-12 00:17:14, 2016-02-12 00:18:08, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -77,       18,        0,   0.  0.  0.  0,  11, FeedTheMoon, 
A0:A3:E2:21:6C:85, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -70,       92,        4,   0.  0.  0.  0,   7, CarBear, 
10:5F:06:72:78:35, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -72,       88,        0,   0.  0.  0.  0,  15, CenturyLink5546, 
8E:04:FF:ED:A9:40, 2016-02-12 00:17:15, 2016-02-12 00:18:08, 11,  54, WPA2, CCMP,PSK, -71,      120,        0,   0.  0.  0.  0,  12, \x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00, 
00:71:C2:AA:E5:70, 2016-02-12 00:17:16, 2016-02-12 00:18:07,  6,  54, WPA2 WPA, CCMP TKIP,PSK, -71,       23,        2,   0.  0.  0.  0,   7, hoey2.4, 
94:57:A5:C6:0A:4C, 2016-02-12 00:17:16, 2016-02-12 00:18:07, 11,  54, WPA2, CCMP,PSK, -71,       35,        0,   0.  0.  0.  0,  29, DIRECT-4B-HP ENVY 4520 series, 
14:CC:20:C7:CE:FE, 2016-02-12 00:17:16, 2016-02-12 00:18:06,  5,  54, WPA2 WPA, CCMP,PSK, -70,       85,        2,   0.  0.  0.  0,   9, Devil Dog, 
8C:04:FF:ED:A9:4F, 2016-02-12 00:17:14, 2016-02-12 00:18:08, 11,  54, WPA2 WPA, CCMP TKIP,PSK, -71,      116,        7,   0.  0.  0.  0,   9, HOME-A94F, 
8E:04:FF:ED:A9:41, 2016-02-12 00:17:14, 2016-02-12 00:18:08, 11,  54, OPN, ,   , -71,      126,        0,   0.  0.  0.  0,  11, xfinitywifi, 
C0:3F:0E:25:1C:3A, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -71,      113,        4,   0.  0.  0.  0,   8, TheLofts, 
00:71:C2:AA:E5:72, 2016-02-12 00:17:15, 2016-02-12 00:18:08,  6,  54, OPN, ,   , -70,      120,        0,   0.  0.  0.  0,  11, xfinitywifi, 
74:85:2A:97:5B:08, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  8,  54, WPA2, CCMP,PSK, -43,       89,        1,   0.  0.  0.  0,   6, Walrus, 
D0:BF:9C:51:8E:3E, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  8,  54, WPA2, CCMP,PSK, -59,       90,        0,   0.  0.  0.  0,  31, HP-Print-3E-Deskjet 2540 series, 
6C:B0:CE:76:24:9C, 2016-02-12 00:17:16, 2016-02-12 00:18:07,  6,  54, WPA2, CCMP,PSK, -55,       64,        3,   0.  0.  0.  0,   9, NETGEAR30, 
40:8B:07:23:86:B5, 2016-02-12 00:17:14, 2016-02-12 00:18:07,  6,  54, WPA2, CCMP TKIP,PSK, -53,       84,        0,   0.  0.  0.  0,   4, SPQR, 
74:85:2A:97:5B:0A, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  8,  54, OPN, ,   , -33,      106,        0,   0.  0.  0.  0,  11, xfinitywifi, 
C0:3F:0E:09:75:A4, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -49,       60,        0,   0.  0.  0.  0,   4, 64oz, 
74:85:2A:97:5B:09, 2016-02-12 00:17:14, 2016-02-12 00:18:08,  8,  54, WPA2 WPA, CCMP TKIP,PSK, -39,       92,        0,   0.  0.  0.  0,   0, , 
00:25:00:FF:94:73, 2016-02-12 00:17:14, 2016-02-12 00:18:07, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
9E:85:0B:D1:BD:1D, 2016-02-12 00:17:16, 2016-02-12 00:18:07, 11,  54, OPN, ,   ,  -1,       79,        0,   0.  0.  0.  0,   8, Portthru, 
00:0E:58:C0:AC:CD, 2016-02-12 00:17:17, 2016-02-12 00:18:00,  6,  -1, WPA, ,   ,  -1,        0,        6,   0.  0.  0.  0,   0, , 
00:0E:58:84:6A:DD, 2016-02-12 00:17:49, 2016-02-12 00:17:49, 11,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
D8:CF:9C:D7:DF:76, 2016-02-12 00:17:46, 2016-02-12 00:17:46, -89,        1, 22:AA:4B:94:44:AA,
DA:A1:19:16:9A:27, 2016-02-12 00:18:00, 2016-02-12 00:18:00, -89,        1, (not associated) ,
9C:FC:01:53:EA:4D, 2016-02-12 00:18:05, 2016-02-12 00:18:05, -88,        2, (not associated) ,Prescott Guest
9C:D9:17:D1:99:B2, 2016-02-12 00:17:34, 2016-02-12 00:17:34, -87,        3, (not associated) ,Z736563757265,linksys,belkin.67e.guests
64:BC:0C:51:80:37, 2016-02-12 00:17:22, 2016-02-12 00:18:08, -81,        9, (not associated) ,
7E:09:20:FB:CE:C4, 2016-02-12 00:17:16, 2016-02-12 00:18:07, -86,       34, 00:25:00:FF:94:73,
90:68:C3:C1:2E:C1, 2016-02-12 00:17:38, 2016-02-12 00:17:42, -86,        4, C0:4A:00:77:F3:14,
00:20:00:84:16:F2, 2016-02-12 00:17:18, 2016-02-12 00:17:57, -85,       12, (not associated) ,hnetwork-2-guest
00:0E:58:16:57:C7, 2016-02-12 00:17:17, 2016-02-12 00:18:07, -83,        6, 00:0E:58:C0:AC:CD,Sonos_EF7tXUSvNghCSF6dwvTUa7iLAO
A0:39:F7:22:F5:DC, 2016-02-12 00:17:47, 2016-02-12 00:17:47, -82,        4, (not associated) ,
00:15:99:D3:F9:13, 2016-02-12 00:17:16, 2016-02-12 00:18:07, -81,       81, 9E:85:0B:D1:BD:1D,
34:E2:FD:A3:20:E3, 2016-02-12 00:17:20, 2016-02-12 00:17:20, -81,        5, E8:37:7A:42:F9:E1,
00:0E:58:C0:AC:81, 2016-02-12 00:17:17, 2016-02-12 00:18:07, -81,       12, 00:0E:58:C0:AC:CD,Sonos_EF7tXUSvNghCSF6dwvTUa7iLAO
5C:AA:FD:46:39:DB, 2016-02-12 00:17:14, 2016-02-12 00:18:00, -79,        6, (not associated) ,Sonos_bwq4jpiMuDtv3PszJbsbHhXSPM
10:41:7F:7A:49:6F, 2016-02-12 00:17:58, 2016-02-12 00:18:02, -78,        6, 20:4E:7F:A0:B3:82,
E2:4A:44:17:7D:37, 2016-02-12 00:17:14, 2016-02-12 00:18:07, -72,       74, 00:25:00:FF:94:73,
78:4B:87:4A:CE:07, 2016-02-12 00:17:19, 2016-02-12 00:17:19, -71,        2, E8:37:7A:42:F9:E1,
00:0E:58:84:6A:DD, 2016-02-12 00:17:31, 2016-02-12 00:17:38, -70,        6, (not associated) ,Sonos_zgCcfASRPuguqRQmWGuRMELbMc
5C:AA:FD:6D:10:D1, 2016-02-12 00:17:16, 2016-02-12 00:18:06, -64,        7, (not associated) ,Sonos_mPkhyEDK3tQ60KGTSe2or61ec5
5C:AA:FD:6D:10:D0, 2016-02-12 00:17:34, 2016-02-12 00:17:59, -63,        2, 14:CC:20:C7:CE:FE,
60:5B:B4:E6:D0:89, 2016-02-12 00:17:17, 2016-02-12 00:17:17,  -1,        1, 60:E3:27:AD:26:E9,
FC:FC:48:06:CD:E4, 2016-02-12 00:17:30, 2016-02-12 00:17:30,  -1,        1, 40:8B:07:23:86:B5,
20:7D:74:39:EF:B5, 2016-02-12 00:17:34, 2016-02-12 00:17:34,  -1,        1, 00:1D:D5:83:D5:40,
04:15:52:D7:CF:31, 2016-02-12 00:18:00, 2016-02-12 00:18:00,  -1,        1, 20:AA:4B:94:44:A9,
FC:FC:48:06:2E:FF, 2016-02-12 00:18:03, 2016-02-12 00:18:03,  -1,        6, F8:ED:A5:62:46:40,
78:FD:94:1B:C4:E1, 2016-02-12 00:18:04, 2016-02-12 00:18:04,  -1,        9, 90:1A:CA:37:4C:50,
60:F8:1D:B9:CC:8A, 2016-02-12 00:18:04, 2016-02-12 00:18:04,  -1,        1, 90:1A:CA:37:4C:50,
9C:F3:87:56:72:F4, 2016-02-12 00:18:05, 2016-02-12 00:18:05,  -1,        1, A2:E4:CB:56:21:6C,
08:74:02:52:20:4D, 2016-02-12 00:18:08, 2016-02-12 00:18:08,  -1,        1, 10:5F:06:72:78:35,

